TrainID,Station,Platform,ArrivalTime,DepartureTime,Delaymin,PassengerCount,Speedkmh,EnergyConsumptionkWh
Torus.005,Pune,Platform_D,01:06,01:16,-5,656,74,666.02
Torus.006,Chennai,Platform_B,01:39,01:47,2,900,67,1953.79
Torus.001,Kolkata,Platform_D,02:00,02:09,0,272,118,1638.65
Torus.002,Chennai,Platform_B,02:12,02:23,2,292,63,1138.79
Torus.003,Delhi,Platform_C,02:43,02:49,20,180,129,1009.73
Torus.004,Hyderabad,Platform_B,02:56,03:05,2,270,89,1294.0
Torus.005,Hyderabad,Platform_A,03:06,03:18,0,1050,103,1664.94
Torus.006,Pune,Platform_B,03:16,03:21,10,1147,70,1606.59
Torus.001,Pune,Platform_A,03:42,03:48,5,1098,98,959.13
Torus.002,Chennai,Platform_C,04:06,04:16,0,889,62,742.95
Torus.003,Pune,Platform_B,04:37,04:46,-2,257,104,1074.62
Torus.004,Jaipur,Platform_B,04:47,05:01,5,440,119,1331.48
Torus.005,Delhi,Platform_C,05:12,05:17,2,934,90,1634.8
Torus.006,Kolkata,Platform_B,05:49,06:03,0,1128,117,645.11
Torus.001,Jaipur,Platform_C,06:28,06:38,0,1082,79,819.0
Torus.002,Chennai,Platform_D,06:38,06:47,20,327,90,1204.17
Torus.003,Jaipur,Platform_B,07:18,07:30,0,1028,115,1946.59
Torus.004,Delhi,Platform_A,07:57,08:12,0,768,68,1892.95
Torus.005,Kolkata,Platform_B,08:36,08:47,2,659,110,1544.81
Torus.006,Pune,Platform_C,08:56,09:05,2,369,103,660.1
Torus.001,Hyderabad,Platform_A,09:21,09:35,10,187,84,1037.82
Torus.002,Pune,Platform_B,09:32,09:44,5,713,129,585.17
Torus.003,Kolkata,Platform_A,09:51,09:56,-2,1183,118,756.16
Torus.004,Delhi,Platform_B,10:10,10:25,-5,665,68,948.87
Torus.005,Kolkata,Platform_C,10:27,10:38,-2,1102,116,1127.79
Torus.006,Hyderabad,Platform_D,11:03,11:17,-2,957,115,957.17
Torus.001,Mumbai,Platform_B,11:38,11:50,-5,415,89,1831.73
Torus.002,Bangalore,Platform_D,12:15,12:22,5,746,68,1498.52
Torus.003,Hyderabad,Platform_D,12:26,12:34,0,778,100,1591.14
Torus.004,Kolkata,Platform_C,12:47,12:55,2,432,107,1507.3
Torus.005,Kolkata,Platform_A,13:13,13:21,5,696,71,1103.54
Torus.006,Chennai,Platform_D,13:25,13:36,5,165,76,850.01
Torus.001,Delhi,Platform_D,14:02,14:09,2,277,89,1795.83
Torus.002,Delhi,Platform_C,14:25,14:32,2,768,67,1408.51
Torus.003,Kolkata,Platform_B,14:39,14:54,2,642,78,1035.04
Torus.004,Hyderabad,Platform_B,15:18,15:23,2,743,107,858.37
Torus.005,Mumbai,Platform_C,15:38,15:53,0,838,113,748.12
Torus.006,Jaipur,Platform_C,16:12,16:18,-2,916,76,1656.56
Torus.001,Kolkata,Platform_C,16:48,16:54,5,309,120,1061.38
Torus.002,Pune,Platform_B,17:02,17:11,2,380,60,1163.34
Torus.003,Bangalore,Platform_B,17:40,17:48,20,914,124,689.89
Torus.004,Chennai,Platform_C,18:02,18:13,-2,430,113,1294.72
Torus.005,Kolkata,Platform_D,18:42,18:53,5,606,93,1949.07
Torus.006,Jaipur,Platform_C,19:10,19:16,-2,1036,84,812.17
Torus.001,Hyderabad,Platform_D,19:44,19:51,5,535,78,1062.76
Torus.002,Delhi,Platform_D,20:22,20:35,2,741,122,1107.84
Torus.003,Bangalore,Platform_B,20:54,21:07,10,765,115,1270.55
Torus.004,Bangalore,Platform_A,21:04,21:11,5,1172,106,528.6
Torus.005,Mumbai,Platform_C,21:16,21:26,10,1034,127,1193.09
Torus.006,Bangalore,Platform_B,21:32,21:39,-5,232,97,1731.45
Torus.001,Bangalore,Platform_D,21:58,22:10,20,357,92,987.0
Torus.002,Kolkata,Platform_C,22:27,22:36,15,113,67,831.78
Torus.003,Kolkata,Platform_C,22:42,22:54,0,1067,116,1330.07
Torus.004,Kolkata,Platform_D,23:16,23:23,0,308,127,1381.8
Torus.005,Hyderabad,Platform_C,23:40,23:50,15,353,120,1587.99
Torus.006,Kolkata,Platform_D,00:16,00:23,2,1186,110,1226.9
Torus.001,Delhi,Platform_A,00:47,00:52,5,567,69,1004.82
Torus.002,Chennai,Platform_D,01:17,01:23,5,793,128,1867.18
Torus.003,Jaipur,Platform_A,01:57,02:03,20,910,107,770.11
Torus.004,Delhi,Platform_C,02:26,02:41,20,998,96,663.12
Torus.005,Kolkata,Platform_A,03:01,03:16,5,374,87,1723.9
Torus.006,Pune,Platform_A,03:41,03:48,-2,519,122,941.75
Torus.001,Kolkata,Platform_A,04:07,04:14,2,1018,86,1071.75
Torus.002,Mumbai,Platform_C,04:30,04:41,-5,770,103,1193.74
Torus.003,Kolkata,Platform_A,04:45,04:58,5,598,90,1918.37
Torus.004,Chennai,Platform_B,04:55,05:03,0,342,82,999.36
Torus.005,Jaipur,Platform_D,05:31,05:39,0,578,95,1078.75
Torus.006,Pune,Platform_A,05:52,05:57,0,737,82,1534.78
Torus.001,Mumbai,Platform_D,06:04,06:17,-2,354,91,830.27
Torus.002,Mumbai,Platform_C,06:29,06:41,-2,1113,130,1709.84
Torus.003,Bangalore,Platform_B,06:58,07:04,0,1181,112,1206.64
Torus.004,Jaipur,Platform_A,07:37,07:44,2,430,88,535.86
Torus.005,Chennai,Platform_D,07:52,08:06,0,121,120,1956.8
Torus.006,Chennai,Platform_D,08:19,08:32,-5,148,122,685.32
Torus.001,Pune,Platform_A,08:52,08:57,0,270,123,504.15
Torus.002,Bangalore,Platform_C,09:19,09:30,0,446,126,968.4
Torus.003,Pune,Platform_A,09:32,09:45,0,1065,117,837.03
Torus.004,Kolkata,Platform_D,09:53,10:05,0,555,115,1893.06
Torus.005,Pune,Platform_C,10:08,10:16,0,928,84,629.1
Torus.006,Pune,Platform_B,10:37,10:52,5,564,77,667.6
Torus.001,Kolkata,Platform_A,10:50,11:03,20,594,65,1912.83
Torus.002,Bangalore,Platform_B,11:01,11:10,-2,398,67,1080.14
Torus.003,Pune,Platform_D,11:16,11:22,2,1162,87,1071.97
Torus.004,Jaipur,Platform_D,11:32,11:47,2,459,118,1724.39
Torus.005,Pune,Platform_A,11:48,11:57,20,1186,89,999.03
Torus.006,Pune,Platform_C,12:05,12:17,5,237,72,812.07
Torus.001,Pune,Platform_B,12:45,12:59,-2,308,69,1852.72
Torus.002,Kolkata,Platform_C,13:14,13:23,-2,1088,96,1170.88
Torus.003,Mumbai,Platform_A,13:25,13:33,0,169,86,866.44
Torus.004,Pune,Platform_A,14:03,14:17,2,144,80,1331.99
Torus.005,Delhi,Platform_B,14:16,14:21,-2,1088,93,1616.62
Torus.006,Jaipur,Platform_B,14:30,14:35,20,246,100,1410.77
Torus.001,Jaipur,Platform_D,14:45,14:53,5,299,119,581.24
Torus.002,Mumbai,Platform_A,15:21,15:31,5,710,97,527.98
Torus.003,Chennai,Platform_A,15:57,16:02,20,430,93,1751.25
Torus.004,Kolkata,Platform_C,16:25,16:34,5,1041,66,1210.63
Torus.005,Hyderabad,Platform_B,16:40,16:48,5,457,66,1687.49
Torus.006,Chennai,Platform_A,16:50,17:04,0,175,129,1516.44
Torus.001,Hyderabad,Platform_D,17:06,17:18,20,845,100,705.35
Torus.002,Chennai,Platform_D,17:44,17:51,20,120,76,1553.69
Torus.003,Mumbai,Platform_A,18:04,18:09,-5,707,108,1533.44
Torus.004,Bangalore,Platform_B,18:19,18:34,10,1110,83,1580.13
Torus.005,Hyderabad,Platform_A,18:48,18:59,0,640,102,1214.51
Torus.006,Hyderabad,Platform_D,19:01,19:07,2,799,113,707.37
Torus.001,Bangalore,Platform_B,19:41,19:46,5,999,81,1007.52
Torus.002,Chennai,Platform_D,20:01,20:13,-5,192,74,1869.78
Torus.003,Kolkata,Platform_A,20:22,20:31,5,829,90,1572.67
Torus.004,Hyderabad,Platform_B,20:38,20:50,0,925,75,559.24
Torus.005,Chennai,Platform_D,21:12,21:25,0,1097,89,1114.09
Torus.006,Delhi,Platform_A,21:33,21:41,20,337,75,1350.64
Torus.001,Mumbai,Platform_D,22:01,22:08,0,340,86,1966.33
Torus.002,Bangalore,Platform_C,22:22,22:36,2,911,123,933.19
Torus.003,Mumbai,Platform_B,22:53,22:58,10,1122,68,543.01
Torus.004,Pune,Platform_A,23:20,23:26,2,882,84,1529.01
Torus.005,Jaipur,Platform_D,23:37,23:44,20,1182,130,696.94
Torus.006,Chennai,Platform_C,00:09,00:15,0,1076,121,697.65
Torus.001,Mumbai,Platform_C,00:39,00:48,0,1044,62,1168.32
Torus.002,Kolkata,Platform_D,00:52,01:00,15,499,73,1010.63
Torus.003,Kolkata,Platform_C,01:29,01:34,15,669,108,651.78
Torus.004,Hyderabad,Platform_A,02:09,02:15,-2,936,124,1859.81
Torus.005,Jaipur,Platform_B,02:41,02:56,5,690,103,788.44
Torus.006,Bangalore,Platform_D,03:20,03:27,0,299,122,897.9
Torus.001,Hyderabad,Platform_C,03:55,04:04,0,1092,115,803.93
Torus.002,Kolkata,Platform_C,04:15,04:20,2,1101,111,610.66
Torus.003,Chennai,Platform_B,04:55,05:00,0,851,101,843.67
Torus.004,Kolkata,Platform_A,05:17,05:27,10,613,68,1546.63
Torus.005,Pune,Platform_A,05:43,05:55,0,146,99,1834.08
Torus.006,Jaipur,Platform_A,06:16,06:22,0,354,98,1506.11
Torus.001,Kolkata,Platform_B,06:42,06:55,2,890,124,832.24
Torus.002,Pune,Platform_C,06:56,07:05,2,1082,128,721.32
Torus.003,Mumbai,Platform_B,07:21,07:31,0,311,97,1691.01
Torus.004,Pune,Platform_D,07:38,07:45,-2,440,130,1020.71
Torus.005,Hyderabad,Platform_D,07:58,08:04,-5,209,77,1267.96
Torus.006,Delhi,Platform_B,08:28,08:35,5,440,116,949.8
Torus.001,Pune,Platform_C,08:59,09:14,-5,628,90,515.8
Torus.002,Delhi,Platform_C,09:28,09:43,-2,800,75,1685.09
Torus.003,Chennai,Platform_A,10:01,10:11,5,619,129,992.96
Torus.004,Kolkata,Platform_B,10:27,10:35,0,234,114,520.99
Torus.005,Mumbai,Platform_A,11:07,11:19,0,238,105,1586.86
Torus.006,Mumbai,Platform_C,11:18,11:27,2,567,69,1463.84
Torus.001,Hyderabad,Platform_B,11:55,12:09,0,245,95,1067.29
Torus.002,Kolkata,Platform_C,12:08,12:16,0,414,73,1417.49
Torus.003,Kolkata,Platform_B,12:25,12:38,0,636,73,1560.85
Torus.004,Bangalore,Platform_A,12:45,12:51,5,525,108,576.1
Torus.005,Bangalore,Platform_C,13:12,13:22,20,519,84,1788.94
Torus.006,Pune,Platform_A,13:36,13:43,0,478,61,1256.09
Torus.001,Mumbai,Platform_D,13:47,14:01,-5,337,113,1251.98
Torus.002,Bangalore,Platform_C,14:23,14:38,-2,773,117,972.4
Torus.003,Kolkata,Platform_B,15:02,15:12,0,729,115,1452.36
Torus.004,Pune,Platform_B,15:15,15:27,10,225,106,1513.05
Torus.005,Hyderabad,Platform_C,15:25,15:30,-2,722,84,1945.91
Torus.006,Pune,Platform_A,15:42,15:51,0,955,71,1916.38
Torus.001,Pune,Platform_B,15:56,16:04,0,680,109,600.29
Torus.002,Pune,Platform_C,16:06,16:13,2,799,80,658.96
Torus.003,Hyderabad,Platform_C,16:24,16:33,0,1166,81,1168.48
Torus.004,Kolkata,Platform_A,16:42,16:56,15,614,125,1308.98
Torus.005,Mumbai,Platform_B,16:56,17:03,2,1192,90,1537.12
Torus.006,Mumbai,Platform_A,17:13,17:28,2,721,120,980.38
Torus.001,Hyderabad,Platform_B,17:40,17:51,0,485,113,500.07
Torus.002,Hyderabad,Platform_A,17:58,18:11,2,835,70,1578.55
Torus.003,Bangalore,Platform_D,18:36,18:47,0,391,104,1664.68
Torus.004,Pune,Platform_C,19:08,19:22,15,1015,82,927.07
Torus.005,Jaipur,Platform_B,19:31,19:41,0,606,79,547.1
Torus.006,Bangalore,Platform_D,19:50,20:00,-2,517,86,1794.57
Torus.001,Delhi,Platform_C,20:15,20:20,-5,1078,89,667.25
Torus.002,Bangalore,Platform_A,20:52,21:05,0,326,119,525.64
Torus.003,Chennai,Platform_C,21:14,21:29,2,641,110,609.94
Torus.004,Kolkata,Platform_A,21:24,21:30,5,399,103,1071.79
Torus.005,Mumbai,Platform_A,21:59,22:12,2,197,107,1056.86
Torus.006,Kolkata,Platform_C,22:18,22:29,20,687,103,738.26
Torus.001,Kolkata,Platform_C,22:53,22:59,2,608,97,1549.64
Torus.002,Delhi,Platform_D,23:12,23:20,0,740,107,716.69
Torus.003,Chennai,Platform_D,23:45,23:54,0,116,109,1424.73
Torus.004,Mumbai,Platform_C,00:23,00:30,10,737,75,893.24
Torus.005,Mumbai,Platform_B,00:56,01:01,-5,473,70,509.43
Torus.006,Chennai,Platform_A,01:07,01:21,10,401,79,1539.98
Torus.001,Bangalore,Platform_D,01:35,01:41,10,966,82,1290.42
Torus.002,Bangalore,Platform_C,02:15,02:24,0,284,100,807.98
Torus.003,Pune,Platform_B,02:27,02:33,20,1029,82,1643.46
Torus.004,Hyderabad,Platform_A,03:06,03:12,5,1040,100,663.93
Torus.005,Delhi,Platform_C,03:43,03:55,-2,1013,90,1368.88
Torus.006,Hyderabad,Platform_A,04:09,04:23,15,685,90,925.31
Torus.001,Mumbai,Platform_C,04:31,04:46,0,671,119,787.25
Torus.002,Delhi,Platform_C,04:58,05:10,0,1175,124,797.45
Torus.003,Pune,Platform_D,05:15,05:20,0,977,71,758.48
Torus.004,Mumbai,Platform_A,05:42,05:50,0,265,105,1515.91
Torus.005,Bangalore,Platform_C,06:08,06:16,10,625,113,663.54
Torus.006,Mumbai,Platform_A,06:35,06:45,0,939,124,680.39
Torus.001,Pune,Platform_C,06:56,07:04,0,310,70,1284.14
Torus.002,Mumbai,Platform_B,07:29,07:42,-2,808,85,1903.68
Torus.003,Pune,Platform_A,08:03,08:09,5,748,103,1020.62
Torus.004,Pune,Platform_B,08:29,08:41,-2,619,129,1664.4
Torus.005,Delhi,Platform_C,09:04,09:09,0,196,68,1660.96
Torus.006,Delhi,Platform_C,09:27,09:41,5,921,90,1468.36
Torus.001,Mumbai,Platform_B,10:03,10:08,-2,914,90,1588.02
Torus.002,Mumbai,Platform_D,10:34,10:40,0,1083,102,838.64
Torus.003,Kolkata,Platform_C,11:00,11:12,-2,687,110,1747.6
Torus.004,Mumbai,Platform_A,11:14,11:28,-5,637,77,1322.84
Torus.005,Pune,Platform_C,11:49,11:57,5,816,118,810.47
Torus.006,Jaipur,Platform_B,12:12,12:27,0,1053,68,1719.78
Torus.001,Mumbai,Platform_C,12:34,12:49,0,686,102,656.28
Torus.002,Bangalore,Platform_D,12:53,13:02,-2,187,110,1208.02
Torus.003,Bangalore,Platform_D,13:25,13:32,-5,785,93,1000.91
Torus.004,Pune,Platform_D,13:53,14:02,2,645,74,558.08
Torus.005,Jaipur,Platform_D,14:29,14:38,-5,411,62,1417.18
Torus.006,Pune,Platform_D,14:41,14:52,-2,689,62,689.63
